id,slug,name,normalized_name,type,dedicated_page,label,is_booster,top_partner,highlight,country_year,partnership_type,partnership_status,short_desc,hall,stand,presence,country,image_url,sectors,themes,tags,fundraising
5fd10aba-7744-f111-8ef2-6045bd954320,riot-security,Riot Security,riot security,startup,True,,False,False,False,False,startupexposant,startup_partners,,pavillon7,3H46-002,hybrid,France,https://storageprdv2inwink.blob.core.windows.net/bd548118-d611-41e8-963d-982eecb11faa/c23c69a1-68f7-44f3-a0bd-13290b14b284,Cybersecurity/Defense,,Cybersecurity & Defense | Artificial Intelligence & Robotics,Series B - $15M - $50M
c45bf56a-f255-f111-8fcb-6045bd954326,rippletide,Rippletide,rippletide,startup,True,,False,False,False,False,startupexposant,startup_partners,,pavillon7,2D11-003,hybrid,France,https://storageprdv2inwink.blob.core.windows.net/bd548118-d611-41e8-963d-982eecb11faa/8c80c72b-49d6-44c1-a7af-99661e43cada,AI & Big Data,,Artificial Intelligence & Robotics | Fintech & Banking & Compliance,Seed - $1M - $5M
d15be198-d855-f111-8fcb-6045bd954326,rise-lens,Rise Lens,rise lens,startup,True,,False,False,False,False,startupexposant,startup_partners,,pavillon7,3H40-016,hybrid,Netherlands,https://storageprdv2inwink.blob.core.windows.net/bd548118-d611-41e8-963d-982eecb11faa/86537fdd-0092-4270-81a0-aeef1888e5d7,DeepTech/R&D,,Artificial Intelligence & Robotics | DeepTech | Growth & Startup & Investment,
3f174c71-f255-f111-8fcb-6045bd954326,risk-hunter,Risk Hunter,risk hunter,startup,True,,False,False,False,False,startupexposant,startup_partners,,pavillon7,2D15-004,hybrid,France,https://storageprdv2inwink.blob.core.windows.net/bd548118-d611-41e8-963d-982eecb11faa/b213b2fa-b419-4c46-b25a-108fb67d9d12,Cybersecurity/Defense,,Sovereignty & GovTech | Artificial Intelligence & Robotics | DeepTech,Not yet - 0
914d7d11-fa54-f111-8fcb-6045bd954326,ristretto-ai,Ristretto AI,ristretto ai,startup,True,,False,False,False,False,startupexposant,startup_partners,,pavillon7,3C14-041,hybrid,France,https://storageprdv2inwink.blob.core.windows.net/bd548118-d611-41e8-963d-982eecb11faa/7a9807d5-acd1-4cec-a553-1581285766cf,AI & Big Data,,Consulting & B2B services | Artificial Intelligence & Robotics | Cloud & Infrastructure & Connectivity,Bootstrapped - 0
804fadca-692e-f111-9a49-6045bd9541be,rman-sync,Rman Sync,rman sync,startup,True,,False,False,False,False,startupexposant,startup_partners,,,2B59-018,hybrid,France,https://storageprdv2inwink.blob.core.windows.net/bd548118-d611-41e8-963d-982eecb11faa/85d179c2-dd4c-4885-b6ae-eb00436a8ab2,Industry/Manufacturing/Supply Chain/Logistics,,Industry & Supply Chain | Food & Agriculture | Artificial Intelligence & Robotics,Seed - $1M - $5M | Pre-Seed - <$1M
5df2d6f5-d558-f111-8fcb-6045bd954326,rn1,Rn1,rn1,startup,True,,False,False,False,False,startupexposant,startup_partners,,pavillon7,2H47-031,hybrid,South Korea,https://storageprdv2inwink.blob.core.windows.net/bd548118-d611-41e8-963d-982eecb11faa/0d195e0b-b287-4efc-a4b1-110acc5de9bc,Hospitality/Travel/Tourism/TravelTech,,Healthcare & Wellness | Marketing & Advertising | Luxury & Fashion & Cosmetics,Seed - $1M - $5M
a5729832-bc60-f111-8fcb-6045bd954326,rnb,Rnb,rnb,startup,True,,False,False,False,False,startupexposant,startup_partners,,pavillon7,3G50-008,hybrid,France,https://storageprdv2inwink.blob.core.windows.net/bd548118-d611-41e8-963d-982eecb11faa/a6c12dd8-5b55-4837-8137-79436aaf53d2,Government/Public institutions,,Mobility & Smart Cities | Artificial Intelligence & Robotics | Energy & Greentech,
6d24fd82-673d-f111-8ef2-6045bd954320,rnest,Rnest,rnest,startup,True,,False,False,False,False,startupexposant,startup_partners,,pavillon7,2B16-010,hybrid,France,https://storageprdv2inwink.blob.core.windows.net/bd548118-d611-41e8-963d-982eecb11faa/557c9088-9246-4a7d-84ed-89f7cd9b7b88,AI & Big Data,,DeepTech | Sovereignty & GovTech | Cybersecurity & Defense,Pre-Seed - <$1M
143bbe00-de4e-f111-8ef3-6045bd9548dc,road-rome-advanced-district,Road-Rome Advanced District,road rome advanced district,partner,True,,False,False,False,False,partenairenonexposant,silver_partners,,pavillon7,,online,Italy,https://storageprdv2inwink.blob.core.windows.net/bd548118-d611-41e8-963d-982eecb11faa/59ab75e2-9afe-4065-87fa-20983accf2f8,Mobility/Transportation,,HR & EdTech & Future of Work | Mobility & Smart Cities | Artificial Intelligence & Robotics | Energy & Greentech,
738ccd6a-c837-f111-8ef2-6045bd954320,roastercup,RoasterCup,roastercup,startup,True,,False,False,False,False,startupexposant,startup_partners,,,3H44-005,hybrid,Luxembourg,https://storageprdv2inwink.blob.core.windows.net/bd548118-d611-41e8-963d-982eecb11faa/bd18025b-3e87-4655-b9fb-c9348d6cd307,FoodTech/Food/Beverage,,Food & Agriculture | Industry & Supply Chain | Retail & E-commerce,Pre-Seed - <$1M
