id,slug,firstname,lastname,full_name,company,normalized_company,company_candidates,job_title,image_url,has_bio,has_sessions,tags,top,top_order
3ccd484b-255d-4954-b0e1-b91646bc8e1b,sarah-tayeb-general-manager,Sarah,Tayeb,Sarah Tayeb,Ebay France,ebay france,ebay france,General Manager,https://storageprdv2inwink.blob.core.windows.net/e935b27a-a548-4b47-af5e-efcb250b84e1/ade14b74-1d7f-4ad9-aa02-1b98d7cc5f94,True,True,Media & Entertainment & Creators Economy | Gaming & Sports & Esports | Diversity & Inclusion,False,10000
bb3fef0b-b460-f111-8fcb-6045bd954326,rim-tehraoui-chair,Rim,Tehraoui,Rim Tehraoui,Hub France IA,hub france ia,hub france ia,Chair,https://storageprdv2inwink.blob.core.windows.net/e935b27a-a548-4b47-af5e-efcb250b84e1/9b12b580-75b0-43bb-90ca-3711e1d988a8,True,True,Artificial Intelligence & Robotics | Food & Agriculture | Energy & Greentech,False,10000
f701a379-d06a-4579-9b9d-4b4cf12cf8c0,julie-teigland-global-vice-chair-alliances-ecosystems,Julie,Teigland,Julie Teigland,EY,ey,,Global Vice Chair – Alliances & Ecosystems,https://storageprdv2inwink.blob.core.windows.net/e935b27a-a548-4b47-af5e-efcb250b84e1/edcc257e-7507-448b-87a0-20ce099a6132,True,True,Artificial Intelligence & Robotics | Consulting & B2B services | Diversity & Inclusion,False,10000
ae5e2ab8-905a-f111-8fcb-6045bd954326,iryna-terekh-ceo,Iryna,Terekh,Iryna Terekh,Fire Point,fire point,fire point,CEO,https://storageprdv2inwink.blob.core.windows.net/e935b27a-a548-4b47-af5e-efcb250b84e1/0e54949b-43b0-4803-8a01-055650ab180e,True,True,,False,10000
f077c167-915a-f111-8fcb-6045bd954326,marie-thery-presidente,Marie,Théry,Marie Théry,Intel France,intel france,intel france,Présidente,https://storageprdv2inwink.blob.core.windows.net/e935b27a-a548-4b47-af5e-efcb250b84e1/34e9a149-955c-4301-a140-703b8c3091ff,True,True,Artificial Intelligence & Robotics,False,10000
2664b81b-3554-f111-8fcb-6045bd954326,olivier-thivent-svp-omnichannel-experience,Olivier,THIVENT,Olivier THIVENT,SONEPAR,sonepar,sonepar,SVP Omnichannel Experience,https://storageprdv2inwink.blob.core.windows.net/e935b27a-a548-4b47-af5e-efcb250b84e1/d31c00f2-d9ee-416c-a9d7-853abcaf0b66,True,True,Consulting & B2B services | Industry & Supply Chain,False,10000
4d3a933b-3d26-4002-a39b-278f7b3e68a3,nicholas-thompson-ceo,Nicholas,Thompson,Nicholas Thompson,The Atlantic,the atlantic,the atlantic,CEO,https://storageprdv2inwink.blob.core.windows.net/e935b27a-a548-4b47-af5e-efcb250b84e1/a7d6fdd4-f335-4a62-b1c1-17ab734202a9,True,True,Artificial Intelligence & Robotics | Media & Entertainment & Creators Economy | HR & EdTech & Future of Work,False,10000
9014ab24-ce51-f111-8fcb-6045bd954326,amy-thomson-tech-media-and-telecoms-team-leader-for-emea,Amy,Thomson,Amy Thomson,Bloomberg,bloomberg,bloomberg,"Tech, Media and Telecoms Team Leader for EMEA",https://storageprdv2inwink.blob.core.windows.net/e935b27a-a548-4b47-af5e-efcb250b84e1/b2dc170d-b977-42e4-8e40-4e72968b19ed,False,True,,False,10000
d993ae89-d792-4149-9dfb-0780134838cc,john-thornhill-innovation-editor,John,Thornhill,John Thornhill,Financial Times,financial times,financial times,Innovation Editor,https://storageprdv2inwink.blob.core.windows.net/e935b27a-a548-4b47-af5e-efcb250b84e1/8f9cec1b-7866-4a99-b595-bc3b36646706,True,False,,False,10000
a33d26d9-3ae1-441c-971f-44a3864681cb,rachel-thornton-chief-marketing-officer,Rachel,Thornton,Rachel Thornton,Adobe Enterprise,adobe enterprise,adobe enterprise,Chief Marketing Officer,https://storageprdv2inwink.blob.core.windows.net/e935b27a-a548-4b47-af5e-efcb250b84e1/586c24ff-0350-4297-9464-bc11f9af2549,True,True,,False,10000
