entity_id,entity_type,display_name,query,context_json
company_acacaca069e075ef05d5,company,Gridbrid,"site:vivatech.com/exhibitors ""Gridbrid"" VivaTech gridbrid","{""company_type"": ""startup"", ""country"": ""Belgium"", ""fundraising"": ""Bootstrapped - 0"", ""query_scope"": ""official_vivatech_site"", ""source_id"": ""189c0acb-ae4e-f111-8ef3-6045bd9548dc"", ""tags"": ""Energy & Greentech""}"
company_40fdde42d2360beacc78,company,Gridio,"site:vivatech.com/exhibitors ""Gridio"" VivaTech gridio-2","{""company_type"": ""startup"", ""country"": ""Estonia"", ""fundraising"": ""Seed - $1M - $5M"", ""query_scope"": ""official_vivatech_site"", ""source_id"": ""60c1f1de-b74f-f111-8ef3-6045bd9548dc"", ""tags"": ""Energy & Greentech | Mobility & Smart Cities | Artificial Intelligence & Robotics""}"
company_44e66af1e2c772f12f40,company,Gridio,"site:vivatech.com/exhibitors ""Gridio"" VivaTech gridio","{""company_type"": ""startup"", ""country"": ""Estonia"", ""fundraising"": ""Series A - $5M - $15M"", ""query_scope"": ""official_vivatech_site"", ""source_id"": ""62af09d1-ae4e-f111-8ef3-6045bd9548dc"", ""tags"": ""Mobility & Smart Cities""}"
company_1b39a2bf8d585cc61c7a,company,Grocery Stuff,"site:vivatech.com/exhibitors ""Grocery Stuff"" VivaTech grocery-stuff","{""company_type"": ""startup"", ""country"": ""korearepublicof"", ""fundraising"": ""Pre-Seed - <$1M"", ""query_scope"": ""official_vivatech_site"", ""source_id"": ""1acd088b-635a-f111-8fcb-6045bd954326"", ""tags"": ""Marketing & Advertising | Retail & E-commerce | Growth & Startup & Investment""}"
company_adf065536f40af0ca42e,company,Groupe Caisse des Dépots,"site:vivatech.com/exhibitors ""Groupe Caisse des Dépots"" VivaTech groupe-caisse-des-depots","{""company_type"": ""partner"", ""country"": ""France"", ""fundraising"": """", ""query_scope"": ""official_vivatech_site"", ""source_id"": ""e1626930-a723-f111-9a49-6045bd9541be"", ""tags"": ""Fintech & Banking & Compliance | Energy & Greentech | Sovereignty & GovTech | Mobility & Smart Cities | Cloud & Infrastructure & Connectivity""}"
company_ae320bc9752ac150af99,company,Groupe les Echos / le Parisien,"site:vivatech.com/exhibitors ""Groupe les Echos / le Parisien"" VivaTech groupe-les-echos-le-parisien","{""company_type"": ""partner"", ""country"": ""France"", ""fundraising"": """", ""query_scope"": ""official_vivatech_site"", ""source_id"": ""662c0595-d142-f111-8ef2-6045bd954320"", ""tags"": ""Consulting & B2B services | Gaming & Sports & Esports | Media & Entertainment & Creators Economy | HR & EdTech & Future of Work""}"
company_0bfcefcb313bdfa9fff2,company,Groupe SNCF,"site:vivatech.com/exhibitors ""Groupe SNCF"" VivaTech groupe-sncf","{""company_type"": ""partner"", ""country"": ""France"", ""fundraising"": """", ""query_scope"": ""official_vivatech_site"", ""source_id"": ""0900d84a-164a-f111-8ef3-6045bd9548dc"", ""tags"": ""Mobility & Smart Cities | Diversity & Inclusion | Industry & Supply Chain | Cybersecurity & Defense | Artificial Intelligence & Robotics""}"
company_48245b39d12c45136f12,company,Growth Alliance,"site:vivatech.com/exhibitors ""Growth Alliance"" VivaTech growth-alliance","{""company_type"": ""partner"", ""country"": ""Germany"", ""fundraising"": """", ""query_scope"": ""official_vivatech_site"", ""source_id"": ""58b8977c-054a-f111-8ef3-6045bd9548dc"", ""tags"": ""Energy & Greentech | DeepTech | Food & Agriculture""}"
company_35e5cdec81d8bfdaf683,company,Guestadom,"site:vivatech.com/exhibitors ""Guestadom"" VivaTech guestadom","{""company_type"": ""startup"", ""country"": ""France"", ""fundraising"": """", ""query_scope"": ""official_vivatech_site"", ""source_id"": ""0125230f-9747-f111-8ef3-6045bd9548dc"", ""tags"": ""Growth & Startup & Investment | Marketing & Advertising""}"
company_0d6d41eb9cab61f29961,company,Guideflow,"site:vivatech.com/exhibitors ""Guideflow"" VivaTech guideflow","{""company_type"": ""startup"", ""country"": ""France"", ""fundraising"": """", ""query_scope"": ""official_vivatech_site"", ""source_id"": ""1404b11a-2260-f111-8fcb-6045bd954326"", ""tags"": ""Artificial Intelligence & Robotics | HR & EdTech & Future of Work | Growth & Startup & Investment""}"
company_8131e25ef9c884e2b157,company,Guidexpress,"site:vivatech.com/exhibitors ""Guidexpress"" VivaTech guidexpress","{""company_type"": ""startup"", ""country"": ""Italy"", ""fundraising"": ""Pre-Seed - <$1M"", ""query_scope"": ""official_vivatech_site"", ""source_id"": ""30351747-7a39-f111-8ef2-6045bd954320"", ""tags"": ""Mobility & Smart Cities | Artificial Intelligence & Robotics""}"
company_89e3c3a6ae2f221e24e0,company,Guidly,"site:vivatech.com/exhibitors ""Guidly"" VivaTech guidly","{""company_type"": ""startup"", ""country"": ""France"", ""fundraising"": ""Not yet - 0"", ""query_scope"": ""official_vivatech_site"", ""source_id"": ""63324b4c-0759-f111-8fcb-6045bd954326"", ""tags"": ""Artificial Intelligence & Robotics | Growth & Startup & Investment""}"
company_99f756d1c4af1fa33773,company,Guinée - Agence Nationale du Service Universel des Télécommunication et du Numérique (Ansuten),"site:vivatech.com/exhibitors ""Guinée - Agence Nationale du Service Universel des Télécommunication et du Numérique (Ansuten)"" VivaTech guinee-agence-nationale-du-service-universel-des-telecommunication-et-du-numerique-ansuten","{""company_type"": ""partner"", ""country"": ""Guinea"", ""fundraising"": """", ""query_scope"": ""official_vivatech_site"", ""source_id"": ""a4bf4e0b-f554-f111-8fcb-6045bd954326"", ""tags"": ""Diversity & Inclusion | Sovereignty & GovTech | Cloud & Infrastructure & Connectivity""}"
