speaker_id,speaker_name,speaker_company,speaker_job_title,matched,match_key,company_id,company_name,company_type,country,hall,stand,company_tags,speaker_tags,top_speaker,has_sessions
691b74a8-a35d-f111-8fcb-6045bd954326,Hayley EDMONDS,SPORTHOST,,False,,,,,,,,,,False,True
55491dd1-32c6-4fbc-9b9f-5c6cf7bc872d,David Ekelund,Icebug,Chief People Planet Profit Officer,False,,,,,,,,,Marketing & Advertising | Energy & Greentech | HR & EdTech & Future of Work,False,True
8bf51624-cb52-f111-8fcb-6045bd954326,Andrew Eliseev,Nebius,Head of Retail & Commerce AI,True,nebius,1682e09b-b835-f111-8ef2-6045bd954320,Nebius,partner,Netherlands,pavillon7,,Artificial Intelligence & Robotics | Healthcare & Wellness | Retail & E-commerce | Fintech & Banking & Compliance | Media & Entertainment & Creators Economy,Cloud & Infrastructure & Connectivity | Artificial Intelligence & Robotics,False,True
42abc8c1-c24e-f111-8ef3-6045bd9548dc,Hannah Elsakr,Adobe,Vice President of GenAI New Business Ventures,True,adobe,007deeb3-962a-f111-9a49-6045bd9541be,Adobe,partner,United States of America,pavillon7,2F10,Marketing & Advertising | Artificial Intelligence & Robotics | Luxury & Fashion & Cosmetics | Retail & E-commerce | Fintech & Banking & Compliance,,False,True
defca229-b35d-f111-8fcb-6045bd954326,Teodora ENE,BPI Fund of funds,Investor Partnerships Director,False,,,,,,,,,,False,True
f4760c01-4268-f111-8fcb-6045bd954326,Charlotte Eriksson,evroc,VP GTM,True,evroc,fa50c2f3-a253-f111-8fcb-6045bd954326,evroc,startup,Sweden,pavillon7,3H49-002,Artificial Intelligence & Robotics | Sovereignty & GovTech | Cloud & Infrastructure & Connectivity,Sovereignty & GovTech | Fintech & Banking & Compliance | Cloud & Infrastructure & Connectivity,False,True
f5010225-31b3-43c3-9d89-8b99e9046ce2,Anita Erskine,Erskine Global Communication,Executive Director,False,,,,,,,,,Diversity & Inclusion | Media & Entertainment & Creators Economy | Luxury & Fashion & Cosmetics,False,True
8e4aced8-f460-f111-8fcb-6045bd954326,Samuel Etienne,MVP,Host,False,,,,,,,,,,False,True
916f18cd-4068-f111-8fcb-6045bd954326,Julien ETIENNE,everyone.AI,Marketing / Communication,False,,,,,,,,,,False,True
7e545519-b164-f111-8fcb-6045bd954326,Anne-Isabelle Etienvre,CEA,Chairman and CEO,False,,,,,,,,,Cybersecurity & Defense | DeepTech | Energy & Greentech,False,True
cefa1ade-3c59-f111-8fcb-6045bd954326,Samantha Evans,Startup Genome,Managing Director GCC and Africa Region,False,,,,,,,,,Sovereignty & GovTech | Growth & Startup & Investment | Artificial Intelligence & Robotics,False,True
09ce815f-f560-f111-8fcb-6045bd954326,Aiman Ezzat,Capgemini,CEO,True,capgemini,ca997e3e-b82a-f111-9a49-6045bd9541be,Capgemini Technology Services,partner,France,pavillon7,3B36,Artificial Intelligence & Robotics | Sovereignty & GovTech | Cybersecurity & Defense | Retail & E-commerce | Space & Aeronautics,Artificial Intelligence & Robotics | Sovereignty & GovTech | Cloud & Infrastructure & Connectivity,False,True
d887ad79-625f-f111-8fcb-6045bd954326,Sébastien Fabre,Safran IA,CEO,False,,,,,,,,,,False,True
2a78ec23-5753-f111-8fcb-6045bd954326,Alexis Fabrigoule,LIVEO.VR,Co-Founder & CTO,False,,,,,,,,,,False,True
159ca793-5fd2-4259-9328-31bea7077a39,Maxence Fabrion,Maddyness,Deputy Editor,True,maddyness,57b8c971-6365-f111-8fcb-6045bd954326,Maddyness,partner,France,pavillon7,1C44,Artificial Intelligence & Robotics | Fintech & Banking & Compliance | DeepTech | Media & Entertainment & Creators Economy,Artificial Intelligence & Robotics | DeepTech | Space & Aeronautics,False,True
1b49d06d-8d47-f111-8ef3-6045bd9548dc,Hala Fadel,Eurazeo,Managing Partner - Growth,False,,,,,,,,,Growth & Startup & Investment,False,True
d157c025-cc65-f111-8fcb-6045bd954326,Tony Fadell,Build Collective,Principal,False,,,,,,,,,Artificial Intelligence & Robotics | DeepTech | Growth & Startup & Investment,False,True
84b862bb-3063-f111-8fcb-6045bd954326,Frederic Fauchère​,Samsung,Head of B2B Mobile Division​ ​,True,samsung,73f16779-a72a-f111-9a49-6045bd9541be,Samsung,partner,South Korea,pavillon7,1D07,Artificial Intelligence & Robotics | DeepTech | Healthcare & Wellness | Growth & Startup & Investment,Artificial Intelligence & Robotics | Cybersecurity & Defense,False,True
dcabce1f-05a3-4bcf-95c9-bedb67d8eafe,Thomas Fauvel,CHOOSE PARIS REGION,Deep Tech industry expert,True,choose paris region,41ee2c13-053f-f111-8ef2-6045bd954320,Choose Paris Région,partner,France,pavillon7,2D14,Artificial Intelligence & Robotics | DeepTech | Energy & Greentech | Healthcare & Wellness,Cloud & Infrastructure & Connectivity | Artificial Intelligence & Robotics | DeepTech,False,True
abc5a3fd-3966-f111-8fcb-6045bd954326,Joana Fayad,Oracle France,Business Value & Strategy Senior Director,False,,,,,,,,,Cloud & Infrastructure & Connectivity | Artificial Intelligence & Robotics | Fintech & Banking & Compliance,False,True
5d7cb7f9-ab59-f111-8fcb-6045bd954326,Carlos Fernandez Isoird,Gogoa,Founding Partner & CEO,False,,,,,,,,,Artificial Intelligence & Robotics | DeepTech | Healthcare & Wellness,False,False
8a9f8ab5-5566-f111-8fcb-6045bd954326,Véronique Ferval,L'Oréal,"Fragrance Design International Director, Métier Parfum L'Oréal",True,loreal,63688ffa-c82a-f111-9a49-6045bd9541be,L'Oreal Groupe,partner,France,pavillon7,1D12,Artificial Intelligence & Robotics | DeepTech | Healthcare & Wellness | Luxury & Fashion & Cosmetics | Media & Entertainment & Creators Economy,,False,True
